Date,BAC,JPM,Residual,Rolling_Hedge_Ratio,Spread,Z_Score,Signal,PNL,Equity,DrawDown_%
2014-05-05,12.08581256866455,40.36402893066406,-6.458006284609283,0.0,40.36402893066406,,0,0.0,100000.0,0.0
2014-05-06,11.805305480957031,39.70890808105469,-6.043119296067445,0.0,39.70890808105469,,0,0.0,100000.0,0.0
2014-05-07,11.861408233642578,40.23746109008789,-5.728572947635939,0.0,40.23746109008789,,0,0.0,100000.0,0.0
2014-05-08,11.965593338012695,40.46824264526367,-5.895210506557071,0.0,40.46824264526367,,0,0.0,100000.0,0.0
2014-05-09,11.813319206237793,40.207679748535156,-5.574916370836178,0.0,40.207679748535156,,0,0.0,100000.0,0.0
2014-05-12,12.077795028686523,40.68413543701172,-6.107316484665404,0.0,40.68413543701172,,0,0.0,100000.0,0.0
2014-05-13,12.045737266540527,40.661808013916016,-6.007358025254035,0.0,40.661808013916016,,0,0.0,100000.0,0.0
2014-05-14,11.893464088439941,40.46824264526367,-5.620069999293726,0.0,40.46824264526367,,0,0.0,100000.0,0.0
2014-05-15,11.66104793548584,39.83545684814453,-5.366293152287653,0.0,39.83545684814453,,0,0.0,100000.0,0.0
2014-05-16,11.628985404968262,39.686580657958984,-5.392865270782352,0.0,39.686580657958984,,0,0.0,100000.0,0.0
2014-05-19,11.757219314575195,40.07368850708008,-5.494911865199818,0.0,40.07368850708008,,0,0.0,100000.0,0.0
2014-05-20,11.645017623901367,39.99180221557617,-5.148799386847344,0.0,39.99180221557617,,0,0.0,100000.0,0.0
2014-05-21,11.70913028717041,40.28958511352539,-5.095577340402009,0.0,40.28958511352539,,0,0.0,100000.0,0.0
2014-05-22,11.789277076721191,40.609683990478516,-5.081202264308459,0.0,40.609683990478516,,0,0.0,100000.0,0.0
2014-05-23,11.797290802001953,40.59479522705078,-5.126659769985395,0.0,40.59479522705078,,0,0.0,100000.0,0.0
2014-05-27,12.198013305664062,41.048919677734375,-6.201110669558595,0.0,41.048919677734375,-0.8441786797887594,0,0.0,100000.0,0.0
2014-05-28,12.13389778137207,41.27969741821289,-5.725761164065936,1.6359399802218202,21.429368921741478,-8.12850975933939,1,0.0,100000.0,0.0
2014-05-29,12.141913414001465,41.48069763183594,-5.555336968365594,1.6289094085162388,21.702620634379425,-6.1971392435246155,0,0.0,100000.0,0.0
2014-05-30,12.13389778137207,41.36904525756836,-5.6364133247104675,1.612829619562849,21.799135515023544,-5.199387189965284,0,0.0,100000.0,0.0
2014-06-02,12.230072021484375,41.20524215698242,-6.167077710654375,1.5950553912361847,21.697599843906946,-4.58550423569048,0,0.0,100000.0,0.0
2014-06-03,12.189998626708984,41.3913459777832,-5.82811198942381,1.587570358132762,22.038865492340943,-4.0677087686130635,0,0.0,100000.0,0.0
2014-06-04,12.189998626708984,41.450923919677734,-5.768534047529279,1.5733877715565607,22.27132914512255,-3.6912173234458043,0,0.0,100000.0,0.0
2014-06-05,12.366316795349121,42.15815353393555,-5.733878605978745,1.5579215947581595,22.89240155084063,-3.326758880867906,0,0.0,100000.0,0.0
2014-06-06,12.494550704956055,42.4112548828125,-5.969931700640352,1.5408600775008412,23.158900515235725,-3.0818184063467204,0,0.0,100000.0,0.0
2014-06-09,12.694910049438477,42.746253967285156,-6.3992130156225855,1.5291718965634193,23.33355429028331,-2.8875700117100083,0,0.0,100000.0,0.0
2014-06-10,12.759027481079102,43.103580474853516,-6.286465548741887,1.5231809380827794,23.669273027199488,-2.6957969841717797,0,0.0,100000.0,0.0
2014-06-11,12.494550704956055,42.634586334228516,-5.746600249224336,1.506084297201234,23.81673971690959,-2.5541634015189563,0,0.0,100000.0,0.0
2014-06-12,12.358301162719727,42.463375091552734,-5.398081030438853,1.487516612659408,24.080196807759066,-2.4107156756899566,0,0.0,100000.0,0.0
2014-06-13,12.374330520629883,42.463375091552734,-5.459225790610766,1.473334439575854,24.23184776881412,-2.2971335237111203,0,0.0,100000.0,0.0
2014-06-16,12.24610424041748,42.3368034362793,-5.09667210503968,1.4598628625946959,24.45917064423039,-2.1832473457467234,0,0.0,100000.0,0.0
2014-06-17,12.494550704956055,42.746253967285156,-5.634932616167696,1.4525101751953169,24.597791933842668,-2.0909926185987744,0,0.0,100000.0,0.0
2014-06-18,12.542634963989258,43.014259338378906,-5.550346974242672,1.4542721036148272,24.773855204425367,-2.0013623808296708,0,0.0,100000.0,0.0
2014-06-19,12.462491989135742,42.65693283081055,-5.601964232298478,1.4516158052821166,24.56618248617934,-1.9682215403917482,0,0.0,100000.0,0.0
2014-06-20,12.390315055847168,42.843040466308594,-5.140534197699353,1.4453544638474622,24.93464329186347,-1.8625150700331274,0,0.0,100000.0,0.0
2014-06-23,12.542685508728027,43.31948471069336,-5.2453144072762115,1.4460689310041102,25.181896885166278,-1.7792711873651972,0,0.0,100000.0,0.0
2014-06-24,12.422393798828125,42.746253967285156,-5.359686611638466,1.4499126396429651,24.734868183741867,-1.7877877957871267,0,0.0,100000.0,0.0
2014-06-25,12.406353950500488,42.82815933227539,-5.216596470272016,1.4611575701133244,24.700521339996254,-1.744317171678102,0,0.0,100000.0,0.0
2014-06-26,12.358237266540527,42.72392654418945,-5.137285842739573,1.4701210537445062,24.555821751478266,-1.71694649098959,0,0.0,100000.0,0.0
2014-06-27,12.294079780578613,42.82815933227539,-4.788321224822283,1.467672993180492,24.784470462313813,-1.6455956782629724,0,0.0,100000.0,0.0
2014-06-30,12.326160430908203,42.895145416259766,-4.843708331427088,1.4604510903585695,24.893390975005225,-1.5921522765633886,0,0.0,100000.0,0.0
2014-07-01,12.510608673095703,43.15752029418945,-5.2849201845379525,1.4558103316766495,24.94444693233323,-1.5477509744415734,0,0.0,100000.0,0.0
2014-07-02,12.711100578308105,42.70774459838867,-6.499481939102516,1.4595409494562945,24.155372791690404,-1.6031177006662278,0,0.0,100000.0,0.0
2014-07-03,12.855451583862305,42.76770782470703,-6.990152597476062,1.4745710629065512,23.811430918547487,-1.6036605058993947,0,0.0,100000.0,0.0
2014-07-07,12.78327465057373,42.48283767700195,-6.999700346080054,1.487466385486973,23.4681463378258,-1.6036159022224639,0,0.0,100000.0,0.0
2014-07-08,12.494569778442383,41.80065155029297,-6.580607789894977,1.4991255921997744,23.069722231904127,-1.609332450584015,0,0.0,100000.0,0.0
2014-07-09,12.510608673095703,41.995567321777344,-6.446873156950062,1.5071373843791003,23.1403612892174,-1.56223986825202,0,0.0,100000.0,0.0
2014-07-10,12.382292747497559,41.65071105957031,-6.302262121657641,1.509807232621135,22.955835912966275,-1.5454430202561356,0,0.0,100000.0,0.0
2014-07-11,12.334177017211914,41.83063888549805,-5.938794517948274,1.5116045006142274,23.186241394907952,-1.48385384319795,0,0.0,100000.0,0.0
2014-07-14,12.486547470092773,42.19797134399414,-6.152686513413812,1.5062874810365643,23.389641208424614,-1.4277486219912914,0,0.0,100000.0,0.0
2014-07-15,12.6790189743042,43.682281494140625,-5.402568214924628,1.5047610544336698,24.603387533182133,-1.2642978376863343,0,0.0,100000.0,0.0
2014-07-16,12.438432693481445,44.01212692260742,-4.154994794855661,1.5019555149536306,25.330154341253422,-1.1591480622599895,0,0.0,100000.0,0.0
2014-07-17,12.189825057983398,43.37492752075195,-3.8438683601657146,1.4870177616305988,25.248441148360897,-1.144594750211193,0,0.0,100000.0,0.0
2014-07-18,12.422393798828125,43.65230941772461,-4.453631161199013,1.465025613155715,25.453184325734686,-1.0995480698023352,0,0.0,100000.0,0.0
2014-07-21,12.446450233459473,43.659793853759766,-4.537911157299533,1.4563650777113497,25.533218392277114,-1.0691483006820632,0,0.0,100000.0,0.0
2014-07-22,12.446450233459473,43.982147216796875,-4.215557794262423,1.4505836649352537,25.92752982171099,-1.005688164771928,0,0.0,100000.0,0.0
2014-07-23,12.446450233459473,44.22953796386719,-3.968167047192111,1.44787330337595,26.208654949043854,-0.9558059124509178,0,0.0,100000.0,0.0
2014-07-24,12.526649475097656,44.356971740722656,-4.1466571522177205,1.444880266820264,26.257463104779635,-0.9320412608967552,0,0.0,100000.0,0.0
2014-07-25,12.50259017944336,44.237030029296875,-4.1748235179975595,1.4436169742369716,26.18807862432398,-0.9211814402188925,0,0.0,100000.0,0.0
2014-07-28,12.430412292480469,44.37195587158203,-3.7645716387745622,1.4479004963737194,26.373955743169578,-0.8829490551514086,0,0.0,100000.0,0.0
2014-07-29,12.30210018157959,43.95964431762695,-3.6874304465772028,1.4573757502499878,26.03086183584689,-0.9021421447245219,0,0.0,100000.0,0.0
2014-07-30,12.494569778442383,44.16207504272461,-4.219184297463336,1.455528017537243,25.97587866312762,-0.889999964979614,0,0.0,100000.0,0.0
2014-07-31,12.2299222946167,43.23249053955078,-4.139258187715541,1.4538149088829466,25.452447173157086,-0.9285885255166896,0,0.0,100000.0,0.0
2014-08-01,12.013391494750977,42.34040832519531,-4.205373204767767,1.4572314810748606,24.834116044567214,-0.9767708319271915,0,0.0,100000.0,0.0
2014-08-04,12.069528579711914,42.46784210205078,-4.292077050637161,1.4761205019145676,24.651763517094214,-0.9770659511866806,0,0.0,100000.0,0.0
2014-08-05,12.029431343078613,42.025543212890625,-4.58142309344867,1.5047675938281428,23.924044755645376,-1.0360663786889186,0,0.0,100000.0,0.0
2014-08-06,12.189825057983398,42.152984619140625,-5.065811261777043,1.5445120557130987,23.325652860051644,-1.0798056505593119,0,0.0,100000.0,0.0
2014-08-07,12.125669479370117,41.91311264038086,-5.060958686378967,1.5784862543162888,22.77291004281258,-1.1176511195710905,0,0.0,100000.0,0.0
2014-08-08,12.189825057983398,42.23545837402344,-4.98333750689423,1.622507384208964,22.45737720522991,-1.129307596373653,0,0.0,100000.0,0.0
2014-08-11,12.205864906311035,42.22045135498047,-5.059529302313415,1.6638258945501774,21.912017258478894,-1.1653852883885771,0,0.0,100000.0,0.0
2014-08-12,12.19784164428711,42.242942810058594,-5.0064327266185416,1.7259363765875353,21.190244200329158,-1.220276480318858,0,0.0,100000.0,0.0
2014-08-13,12.2299222946167,42.52032470703125,-4.851424020235072,1.7824315962843014,20.72132478900464,-1.2470920542502255,0,0.0,100000.0,0.0
2014-08-14,12.28605842590332,42.715232849121094,-4.870649863033336,1.8093422429023358,20.485548340368037,-1.2491432314503659,0,0.0,100000.0,0.0
2014-08-15,12.205864906311035,42.542808532714844,-4.73717212457904,1.7907851448753331,20.684726978137892,-1.204578827656352,0,0.0,100000.0,0.0
2014-08-18,12.390315055847168,42.90264892578125,-5.080925738226696,1.7633029809469982,21.054769452933467,-1.1419889218431525,0,0.0,100000.0,0.0
2014-08-19,12.390315055847168,43.150020599365234,-4.833554064642712,1.7762687881545656,21.141490690262316,-1.111459414978362,0,0.0,100000.0,0.0
2014-08-20,12.446450233459473,43.21000289916992,-4.9877021118893765,1.7765899699130168,21.097764253384298,-1.0959682327059612,0,0.0,100000.0,0.0
